sample_id,timestamp,subject_id,session_id,camera_position,lighting_condition,exercise_type,active_arm,rom_elbow,upper_arm_angle_std,torso_sway_range,shoulder_angle_range,rep_duration,up_phase_duration,down_phase_duration,elbow_velocity_mean,elbow_velocity_std,motion_smoothness,elbow_drift_range,mean_visibility,label,error_type,notes
32,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,119.72,3.5,1.76,11.87,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,correct,correct,good form
33,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,124.13,23.62,2.8,63.17,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
34,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,117.98,18.23,3.6,50.72,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
35,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.62,16.81,3.68,48.21,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
36,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,128.7,19.09,3.76,53.29,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
37,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,110.55,17.34,3.14,49.41,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
38,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.94,21.29,2.24,62.63,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
39,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,112.52,21.09,2.86,62.97,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
40,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,125.76,22.97,3.18,66.46,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
41,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,134.11,14.95,1.79,41.96,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
42,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.42,17.7,4.03,49.54,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
43,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,120.78,21.4,3.17,59.86,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
44,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,123.76,16.98,3.49,50.39,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
45,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,128.82,17.71,3.0,48.72,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
46,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,136.39,16.67,3.37,47.67,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
47,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,132.33,17.28,1.42,45.45,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
48,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,127.54,18.07,3.24,49.69,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
49,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,133.82,18.98,3.66,59.55,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
50,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,131.1,15.86,3.84,56.68,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
51,2026-05-19T00:00:00,S00_Legacy,session_legacy,side,normal,biceps,left,108.1,19.47,3.83,56.34,1.5,0.75,0.75,140.0,120.0,0.05,0.1,0.95,incorrect,elbow_swing,bad form
